surface_form	n_tokens	total_count	doc_count	zipf	replacement	context
elf's	1	5	5	1.8		2 dwarfs and a halfling So that's rough really it's really making room for the elf's ego That's kind of a bigger That's the challenge right Or we are we going
flyby	1	5	5	2.49		always a few vultures very high up in the sky can be sense into a flyby of the whole area and yeah if you if you All can attract a bird
lynxes	1	5	5	1.59		a shield It's painted in bright yellow and blue and green colors and there's 2 lynxes on it like the faces of 2 links that are watching you like You can
magics	1	5	5	2.18		why I should share such information with you What difference is it to you what magics my rings can Well in this period as you said a moment ago of cultural
orban	1	5	5	2.4		wouldn't have been part of your study but The Underground I live tracks on to Orban roads that go hundreds of miles underground This is that unusual But just that they're
questioningly	1	5	5	1.62		of the clan As you see is she sees you seeker and kind of looks questioningly at you Is he Will he be okay Yes we we just wanted to incapacitate
retcon	1	5	5	1.92		questions or scribes before we shift gears to the Tower because I don't want to retcon more stuff when you decide like in 2 weeks like oh could we have done
rivulets	1	5	5	1.97		of this fountain and then collecting at the bottom and flowing out of these little rivulets to the to the pools lean in close I attempted to touch the actual surface
rummages	1	5	5	1.56		here anything you could share about a man who brought them Okay okay So he rummages around a little bit and digs out from his shop These two they look sort
shabbat's	1	5	5	0		been free All of our brethren chained across the world left to their fate when Shabbat's attempt to kill the gods failed Yeah yeah hey I wouldn't have been all good
swoops	1	5	5	2.44		One of these giant vultures like big like California condor style vultures just kind of swoops down and lands next to Welby briefly And just looks at him to give it
tauntie	1	5	5	0		wizards We're never gonna use it right And it's a tachi It's a book of tauntie spells We got it from grimaceals Hoard It's not that mysterious spellbook Got it Okay
tisha	1	5	5	2.16		the oasis the Mesa the sort of Is this Is this connected to the disappearance tisha coons protection Are you are you aware Well i've seen the bear evidence of it
kalo	1	24	4	2.06		who's the priestess person kayla kayla we tell her we were thinking of just notifying kalo and asking her to advice and HALO is kilo is john's Marwan character I always
lyrian	1	17	4	0		the quickly fading quickly desaturating seeker off Well well be Briswin and dealt with lead Lyrian lantern keeper of red red Sun keep of red Sun watch into the storage room
craigar	1	9	4	0		gives you a slight bow It doesn't recognize any of you and says Please come Craigar would be pleased to speak with you and hear your stories I have guided him
lacrum	1	9	4	0		of seeker and then roll initiative But decide if you're invisible first st So some lacrum dealt with who's probably going to die anyway is not saving his spell slots for
langau	1	9	4	0		to seek peace to seek order to bring order and you brought two babies here Langau took them away specifically to keep them safe till this could be dealt with I
blindsight	1	8	4	1.53		It is It is a watcher's dagger If you are attuned to it you have blindsight out to a range of 30 feet Blindside What is that You can You can
cobalts	1	8	4	1.18		another week Thanks thank you So many places Just quickly do I know anything about cobalts and their history in this area History check A few days to play um I
demitar	1	8	4	0		these are the same species as Dimitar They're coming from the little circular island and Demitar is still there What I'm Just naked stuff up I don't know I have no
golems	1	8	4	2		bad The book you cast identify on it Yeah It is a manual of stone golems What is that Interesting Like that one we took out Create a standalone A stone
karna	1	8	4	2.5		to leave until he's completed his mission Now because then we' to find out that Karna is a polio now with Do you in any of your scrying have you been
murfok	1	8	4	0		Third a glittering green thing smooth jade sparkling on the brow of a mere footber Murfok shot You skipped one Oh sorry A glittering green thing smooth J Is sitting in
sungar	1	8	4	0		like would it be an abandoned city on the scale of like to grow or sungar I mean isn't It yeah you're definitely on that scale it's a substantial city Cars
boria	1	7	4	1.23		what you glean from here because this is talking about the the plane of our boria And it's sort of it's it's a particular parable about this place which seems to
construct's	1	7	4	0		its action Sure Okay it does it And then the so that's that ends the construct's turn presumably Yep and then the real ladder will Gold Have to Tangle with the
garage's	1	7	4	1.49		relationship between Fausto garage and Napoleon is not as quietly Yeah Who is who is garage's Boss is the question that we do not know The answer to the simplest answer
orsonburg	1	7	4	0		Nobody knows quite what to do There are many considerations here There are people from Orsonburg From the militias on the plateau the rangers the lizardfolk I believe in a stoneboard
prag	1	7	4	1.8		the clairvoyance tunneled into the well And as your as you're watching this You see Prag are coming down the the stairs from this like palace That's a little bit out
rodnia	1	7	4	0		if his sister who had some sway over this this person or creature called a Rodnia Vagnez could destroy the thing once and for all Perhaps I expect the jade Hmm
sangara	1	7	4	0		cannot happen if Toker is not secure really good I believe that type I believe Sangara is ready to declare for me the moment I make a move Why do you
simulacra	1	7	4	1.92		York sisters Brutal We I try to understand better this threat How many of these simulacra are abroad still were the ones that were seen and charred and destroyed That was
threed	1	7	4	0		a thanks team altogether Yeah So that hits and the damage I think will be threed six plus So it's threed six plus four but really only the only the fire
unblinded	1	7	4	1.24		well I just use your action you don't need you should use this action to unblinded himself yeah yes the bonus action disengage which is the key Day bonus action disengage
vashen	1	7	4	0		That hard once you know what you're looking for to find the broken mask Count Vashen he is you know most people are kind of dancing around are you know partying
wisdoms	1	7	4	1.96		it almost killed me when I when I did that I felt I felt the wisdoms that Chuck did 11 points of damage Will see which of us bricks first Yeah
darvas	1	6	4	1.14		big monumental architecture and know people really everybody is scattered out on the plains But darvas pretty cosmopolitan that's got some trade has got some see folk Scott even a small
dealeth	1	6	4	0		an advantage on them would be to get them to come to us and if dealeth comes we send We have Vindisharna try and come and help them from the air
gbt	1	6	4	1.71		okay what did Chat Gpt write And what did I write of that session chat Gbt wrote the nymph you wrote the Harpies and that yeah I definitely read the tree
lorean	1	6	4	0		I mean the think he was charter any in or somewhere out West maybe a lorean certainly not done Marty I mean Open ground is good enough for us but If
lubesh	1	6	4	0		is This seems less than ideal I'll tell him if If it is inconvenient for Lubesh to see us today we will return to the airship and he can let us
magistress's	1	6	4	0		cage Can you call a colleague There are few as powerful as me in the magistress's service But you know I'm unable to cast spells but I can ascertain truth We
polyan	1	6	4	0		you looking into the gloom and Apollon's hands and as you do you realize a polyan has no presence here not even like an Undead There's not some black corruption of
rai's	1	6	4	1.77		the pieces of jade All on Kenza's staff Now So we have like one of Rai's entire hands basically Yeah So where's the rest of him Is the is the question
taji	1	6	4	1.93		birds of prey of sight and those who can see far There was Taraka the Taji of campfires and hospitality tales and stories and the warmth of a hearth on a
unattune	1	6	4	0		you are tuned to the If you're attuned to the phasing stone you have to unattune from either the renowned jumping or the ring or for the ring of what jumping
chicoon	1	5	4	0		we ended up in the this This the plan of souls is also in the chicoon ceremony Right Yeah this is it This is the the the of souls Oh Shit
denari	1	5	4	1.29		heard about battle saints That's who I'd asked if I wanted to know about some denari artifact but I think he had a North Before you is well let me just
dooring	1	5	4	1.39		in the mirror right then dimension door Somebody can hold the mirror while they're dimension dooring and then speak the command word to release the 2 people from the mirror Okay
doppel	1	5	4	1.56		create a magical duplicate of wellbeing like if you had a if you had a doppel wellbe and 2 and to crew like yes you could technically sale 24 HA day
elfish	1	5	4	1.49		Yumara I'll introduce myself as dealt with lately from Animara But sort of talking to Elfish I'll introduce the elfish and I'll then I'll introduce our my companions Well you know
falderick	1	5	4	0		Nope Wait They can't steal the skyship Oh no He vanishes Folderick You check And Falderick Yeah what's up It's kind of creepy over here Yeah M Okay time's ticking So
falterk	1	5	4	0		Alright But then if you know it's getting closer quite quickly maybe below decks for Falterk just in case what What What do you see Sort of squints in the direction
holdup	1	5	4	2.43		is not powerful enough to drive away a God Unless it is itself well the holdup is this why is why the the way what's the what's the speaker's name again
incongruously	1	5	4	1.96		on him and his his matching armor looking very fierce will be dressed a little incongruously in in sort of sailors clothes The short pants gathered just below the knee and
isengay	1	5	4	0		our enemy so we should be careful Also true yes If you have flown over Isengay there will be many who Would dearly like to speak to you That is a
juts	1	5	4	2.36		or a conical top of a tower just below the tower as a platform that juts out Maybe twice Maybe it's not like a little less than the full width of
kairos	1	5	4	2.18		wise course of action would probably be to circle back to control circle back the kairos check out agatha dust mother's little hot On the web On the way back and
orions	1	5	4	1.96		what if part of it Polyons resurrection requires like of critical mass of peer drain orions like great question Great question of poly on to like will be like materialize again
outriders	1	5	4	1.91		who was Not likely a full you know not a soldier maybe a Scout and outriders somebody like that um you know the little bits of armor and stuff that are
pira	1	5	4	2.08		no no he's just a henchman Yeah But he's he's he's one of the ominous Pira Yeah he probably is I work with a bad guy working with a poly on
reswyn	1	5	4	0		there Dolby Welby is standing on the the roof of the the outside of the Reswyn you're some rock Who's Buddy But I was trying to get him Your regular dealt
rizlin	1	5	4	0		can provide that with cast guidance I'll do inspiration Who is making the check Presumably rizlin I guess Kenzo can do it No Kenza you could do it roll add Wendy
rizwyn's	1	5	4	0		that's true But it is currently oh Rizwyn can't do anything It is currently bizarre Rizwyn's turn First st the angel with 600 foot range That's concentration is going to shoot
shamutz	1	5	4	0		caught it Right And then left it in Drankor when he went to deal with Shamutz limbo chaos magic so a Polyon as far as you know has never possessed Right
tanji	1	5	4	1.2		felt she doesn't quite know how to describe it but it felt like something that Tanji would shy away from not like something they were drawn to and even though it
taunchy	1	5	4	0		that we freed from a imaginary from a trapped dark dimension It was midri that taunchy of soil and dirt and the seeker of connections Among all things there was this
thundercloud	1	5	4	1.72		of the bottom of the lecture Hall and then turn you know becomes basically a thundercloud and just starts whirling whirling whirling like a like a tornado and when galen snaps
tokers	1	5	4	1.28		archives of the locking miss die that would clue you in on this I think tokers and our future yeah lunar race The Center recognize that the sector was draconian And
arca	1	4	4	2.47		Is that fucking this scary shit That's the one legacy of arcas Oh was that Arca system There was a desk Yes We're totally CARDONE and leaders by the way Are
bad's	1	4	4	2.28		just the two of them still there It says with us We don't think anything bad's gonna happen yeah even though like mikey Grad with all see and what's going to
barkeep	1	4	4	2		that I was told to go to yes Right right um and the bar keeps barkeep who is a sort of younger Durban man with this fancy braids in his beard
charlton's	1	4	4	1.85		beyond the 400 fortress And the giant Has on the road yet Where's Where's charted Charlton's way up there Up there There's Charlize Yeah And drain course South right Thinkers down
clairvoyanced	1	4	4	0		right like he's looking for something We know he's looking for something because when Seeker clairvoyanced him He talked about looking for something Yeah you said I'm Austin You know I
clave	1	4	4	2.25		over here before he gets into range Can I try and prevent it with the clave Ah well my reaches my reach is extended five feet with it right so with
cloak's	1	4	4	1.06		are sort of orbiting it Um He I'm like crouching on the edge like my cloak's bibbling down around me I'm just like staring intently down to the cave But the
coalesces	1	4	4	1.67		shadowy form of a long sword appearing in his hand and then it it slowly coalesces into a a Actual weapon Let me try with this Never I mean it just
commun	1	4	4	2.24		to get attack and die right now Oh well yeah that too Um I will commun with plants I I will I will I'll come in with Nature right now and
cooped	1	4	4	2.47		you're like despite you know Jrain despite it being January is not going to stay cooped up in a village right Like you're used to the messi the woodswalkers of Breva
corian	1	4	4	1.55		forms are are solid and you you occasionally hear sort of mutters in in drank Corian or in elvish or common but but they don't But the words seem to be
counterspells	1	4	4	0		in theory we could try and stop that by counterspelling Right That's where the 2 counterspells comes in and Seeker has Counterspell too And Let's fucking Do it Let's do it
damari	1	4	4	1.28		cloak Was that a polyon had it It was found at some point by the Damari The Tanari were guarding it at a there was a letter that I have somewhere
daoist	1	4	4	2.12		second attack I don't still have advantage on this attack do I And then as daoist turn ends she will use this ice heart We'll use a legendary action and the
deliff	1	4	4	0		you know He's good at Clearly Hermitage like Charisma is his lowest ability A heck Deliff will apologize for intruding Who did we Sorry I didn't actually get a chance to
distractedly	1	4	4	1.72		investigatively So making it a nice contrast with Seeker's approach which is to sort of distractedly like drag his finger along the wall and sort of sniff sniff say So so
domest	1	4	4	1.04		hits the tower in your perspective Shakes for a moment and you can see you domest now standing there you know chanting some sort of magic and as you do as
domus	1	4	4	2.25		you not does not seem to have been In that letter is addressed to you domus No not addressed here that says Tell you don't miss this dress to someone else
drankour	1	4	4	0		We can now And you also see the out of order We just had to drankour right now just for fun Just go south from or you'll get the drink or
encase	1	4	4	2.09		and the stone begins to grow The like dirt begins to like grow up and encase its body and grow over it and it sort of stinks a little bit um
enzo's	1	4	4	1.77		magnet and then like you're not quite sure what happens it sort of pulls at Enzo's hands and then just in a moment the the stone vanishes just as it like
fasto's	1	4	4	0		matte black iron with 4 dark dark gems the same crown that you've seen on Fasto's head But here reflected in some sort of pale echo form and as you watch
feet's	1	4	4	1.36		10 feet I mean he's 20 feet tall His arms are Yeah yeah But 20 feet's probably safe 20 feet is probably safe 15 feet is I'll stop 20 feet away
goggle	1	4	4	2.43		left This is very unfortunate You wouldn't have You wouldn't have a mirror and the goggle that you had stopped By now I am going to Disengage And retreat 1234 I
grosh	1	4	4	1.12		garage story where we talk where I talk about how your tattoos were constantly battling grosh and like Gosh Couldn't couldn't touch you because Grosch was afraid of you know Right
jade's	1	4	4	2.26		your staff fucking awesome and coming budding out from the top In between Where the jade's are is a cluster of a Mesoberries amazing The staff is so epic Yeah Another
jamali	1	4	4	1.73		to her But you do know I'm do my is the is the priestess of Jamali who is the kind of main leader of the Temple of So usually so even
jeph	1	4	4	1.9		can move though afterwards Right Now you can move afterwards So you pull out your Jeph Loeb And just like massive flash of sunlight just burst out across the room dispelling
kansans	1	4	4	1.95		throws OK so the smile does not fade I'm Cool And it is it is Kansans turn All right It's fucking dude I did That Mrs Alright followed up with the
kazoo	1	4	4	2.35		instead of the 13th but I don't think I can do both There's also the Kazoo punk on the sixth idea Yeah That's even less likely for me actually just because
kendo	1	4	4	2.49		I forgot to give you inspiration to my God Oh Cod vanishes Okay see you kendo i'm going home Okay So wait this speaker We got this we're good I feel
kenso	1	4	4	0		out of the way before the storm hits right What's the storm I don't know Kenso said Scary And why wouldn't we trust him Yeah there's some kind of scary force
klight	1	4	4	0		Like as fast as a human Do we need the advice on avoiding the like klight trained bloodhound future people Yeah like are they still hunting us Just ask if we're
litch	1	4	4	1.53		than Nondran Koreans and once she learned that Apollon was actually some sort of undead litch trying to rule the world as an undead army Decide if you want to know
maka	1	4	4	2.25		meditate and employ all ritual tactics that he can think of related to the schema maka she can etc to just try me with that with the gods Okay try yeah
makkah	1	4	4	2.48		them And their stories I mean the gods coming here as well right obviously if makkah and beast my had a child that had to be in the same place together
mentee	1	4	4	2.09		Let me know your pleasure on the house What are you guys having Of a mentee To Crown What are you drinking I'm drinking whatever you're drinking Kenzo You're drinking I
molder	1	4	4	1.73		maybe 15 feet Man I wish I could think of something that I could use molder to do to it But I don't think that there is Okay And there's no
nathaniel's	1	4	4	1.72		the I want I don't I washer lover link Watch the anime solo leveling Oh Nathaniel's with you Daniel knows what I'm talking about The Daniel You know what I mean
nimbly	1	4	4	2.22		well run towards kenzo swinging with this great acts which will miss Worse as kenzo nimbly dodges out of the way This one will also run towards kenzo swinging with his
nulls	1	4	4	1.87		a band of adventurers fighting their way through a dwarven ruin finding fortress of demonic nulls killing a demon rescuing a lost adventurer are recovering a precious heirloom of the brawn-andal
okta	1	4	4	1.56		day what's the it's midday So we're camp just because we were waiting for the okta scout things out yeah well and also because you typically would rest from like 11
paulian	1	4	4	0		which are which is related to the purity and the cleansing And Apollon like a Paulian could have been the winner of that civil war It predates the poly on But
penz	1	4	4	1.22		tokens for us on the board Oh sorry Let's put out we've got Where's when Penz out dealt with Down Gollum San Rock I'm Delwett You really Ladder Like a pretty
penza's	1	4	4	0		as you walk there what How are you all dressed What are you all wearing Penza's got on like a like a big furry a toll in red toll in red
phylactory	1	4	4	0		pauses for a moment and she says no shamat binding had to do with Apollon phylactory for souls are not fed into it He gets weaker and weaker cannot believe Rai
pincer	1	4	4	2.36		and those that need to be close can be sneaking up from behind and the pincer movement I think we should go nearby like within a mile and and do a
protectively	1	4	4	2		in the dark and just say show yourself you're seeing Ah i'm So will stand protectively near the golden Mari guy baffling Oh hold on a SEC so everything's happening at
radian	1	4	4	2.12		charge and attack I see my 26 hits yeah That doesn't add my The extra radian yeah so nine damage For the first attack and then dealt with will swing again
rislin	1	4	4	0		in the deserts east of the Dunari border a camp a made by Gaweth and rislin outside a pool of water where a waterfall with no obvious source of where the
ropey	1	4	4	1.92		So i'm gonna and i'm gonna save the day yeah this is this is Captain ropey actually the larger cousin a rookie And so I will animate The letter and then
schmut	1	4	4	0		recorded specifically and more precisely whatever we can learn about what happened between Apollian and Schmut at the around the time of the great War Whatever happened after the great war
scoffs	1	4	4	2.41		and worth to our people through battle and danger already and have their sort of scoffs a little bit but everybody else kind of nods and seeing He's the only one
scribed	1	4	4	1.83		our dear friends Cosmos and Cassian how are the boys Codmos is worded cannot be scribed no matter how many times I tried But his companions are not I saw I
sharda	1	4	4	1.84		without at the same time killing the Elvis tree Wait could we just Land venture Sharda on it inside the ice dome No I Oh cool How What's the range of
stomps	1	4	4	2.46		over and over There's just like dust powder Even after there's just powder He then stomps like as hard as he can and there's a crack of thunder where his foot
sundered	1	4	4	1.9		earliest most powerful creatures fled their after magic was ripped apart after the world was sundered The fake creatures the art fair and all their many creations of which we Once
tollcross	1	4	4	1.57		map is there is like carwash mean are there There's only there's bigger cities is tollcross sort of the main city of Topeka is probably the biggest city so Donmar sort
tromping	1	4	4	1.61		might succeed but are we really going to stay incognito if we're Being tourists yeah tromping around asking questions about severus and showing our letters to the done Mari leadership and
unseasonable	1	4	4	1.93		out of the chasm which is unusual and the weather's but the weather's also been unseasonable The Vesche Vaca the Children of the Wind have been concerned about the omens coming
we's	1	4	4	1.64		away from dead there and it has gone to reach and it is going to We's Prag ours part again and Ragar staggers back Any takes a significant amount of damage
gazan	1	15	3	2.03		malar Oh no Gosh oh boy Off Doing our kind of checks Anybody heard of Gazan Killa No Casano Gazan Coa Let's let's do a dreaming on Kiso to get him
darwind	1	12	3	0		the dwarves of Thorntoder and help deal with the rizwind Doppelganger making trouble there and Darwind is now taking out his crying focus is bowl and filling it with clear water
rania	1	11	3	2.28		of one of the Noah the Rodna but only people who are part of the Rania are allowed to cast spells and if you are caught casting spells you're caught using
drukmar	1	9	3	0		pits mapped No nobody I mean the ogres go in the mines the abomination The drukmar lives down there somewhere but the giants don't go down Okay But he's saying when
chasm's	1	8	3	0		I pushed some brainstorming notes of the chasm Mike I just Like the chasm The chasm's kind of cool I didn't know that it would have why would it have a
hasted	1	8	3	1.77		Uh-huh How's it going Sorry about that Ah no problem Did we settle on we hasted Phil I mean I'm totally up to you guys I that we haven't pasted anyone
kalp	1	8	3	1.04		commands the jade resists but is overwhelmed The murfolk is a Murph at peace among kalp forests stinging to the jade watching the light change to the vast undersea forests The
sackton	1	8	3	0		morning after the snowstorm kind of community you know talking to the birds And Tim Sackton there's so you learn 3 things from the animals around and and there's a decent
scara	1	8	3	1.3		have not concerned ourselves of those wars since the days of vim Frost bye brim Scara has ruled kept us safe for many years Now he is the strongest of the
uzbekar	1	8	3	0		Chardon But we want to send him possibly a slightly safer He would stop in Uzbekar Go to Uzkhar is where we decided Aye Cause That's relatively close to drink corps
beryl's	1	7	3	1.35		It was Erebor But it was where Beryl was from It was where Beryl is Beryl's hometown Is that where we started Airport Yeah At the very very beginning Yeah Is
chattan	1	7	3	1.18		who seemed to control chelite We have long suspected that there is Chelite in the Chattan mountains Well 20 Where's this It's like the the mountain range that's just north of
d12	1	7	3	1.91		I'm replacing it with a 15 and then I'll roll Barnic So what's that a D12 Yep Roll twice and take the higher 10 and 10 So that is 15 plus
darwinth	1	7	3	0		from dying and safely returns them to a polyon because when you scribe on the Darwinth and Kenzo Clones you saw them pacing the docks at what you presumed was the
heteri	1	7	3	0		public face of any of this Fausto gave a speech an impassioned speech to the heteri magica which is like the Council of Wizards basically blaming talking about how dealt with
hutsu	1	7	3	0		this tree Um Do I sense that that the tree has a name or the hutsu the huts How to Who's too Yeah it just it doesn't it doesn't have an
iceworm	1	7	3	0		like release them in battle like intentionally So it's like a cannon but with an iceworm in it No but it's like like the bottom of the sky ship could have
murfoke	1	7	3	0		rise hand left right one in Ersk one in the Mermaid garden the Murf the Murfoke garden out or the place where the sorry We don't know this Murphok There we
valias	1	7	3	0		he says unfortunately they were here for several months a woman Evelina and 3 men Valias and Vargas twins and then Roman He was the one who is dead now and
varga	1	7	3	2.47		who have traveled out into the East They don't really bother collecting tribute from the Varga because they're not under rooms Carla's protection and they don't make anything useful according to
dc20	1	6	3	0.54		actually seems potentially even more useful because I could He's Very unlikely to make a DC20 Wisdom safe Right And If he fails to save I can like Probe his brain
drukmir	1	6	3	0		then legend lore on the on the on the giant kick Excuse me that right Drukmir legend lore legend lore Yeah And then the Hall of Stories on stone jets Yes
fastow	1	6	3	1.38		very high I think the likelihood that at some point we're gonna have to kill fastow in battle also very high I think the likelihood that If we walk into his
fodrick	1	6	3	0		Almond ketra and Amal are are standing keeping watch You hear a whoop from from Fodrick as everybody storms through and suddenly nobody really communicated with him An ice shield appears
incapacitates	1	6	3	1.68		someone with you when you misty step Is it like teleport Question is Like totally incapacitates you or something Touching the jade totally incapacitates Deal with Yeah bob Guys have to
maruk	1	6	3	0		Student what would you like to know your I forget What's her name Murdoch or Maruk Oruk Your General Maruk seemed uncertain as to what the dangers would be to your
penzel	1	6	3	0		from the Lizard folk way to the south and Rsa Books and and looks at Penzel and turns and and looks at your staff Then the 2 fragments of rye Yes
pragar	1	6	3	0		mean Eventually after several more days of planning Tim I try to reach out the Pragar Well okay sorry I don't I don't like directly try to communicate with him because
typhenia	1	6	3	0		at my my ringing finger or the ring on my finger to see if maybe Typhenia is in there Ah yes um You hear a voice in your mind as if
voa	1	6	3	2.49		else I spent the night out there So Well be and down with our app VOA says Who else and seeker and Kenzo are Covered Covered Okay Yeah yeah Actually when
augers	1	5	3	1.77		I climbed up scanning for weaknesses fisher's fault lines cracks in the rocks above the augers in the little tiny path that they're on it that's Like over Here say Okay
barzell	1	5	3	0		sight but what you seek was placed below you So it was placed below us Barzell can't tell if it's still there because there's so much magic guarding it but it
boons	1	5	3	2.2		of blindness Later restoration doesn't seem to which is kind of shocking nor does cure boons So I'm coming up short here I mean this is why That's why you have
chey	1	5	3	1.97		mist and fly there Oh I'm on it He is going to Am I next Chey light knight and then you Okay And then he is going to turn to seeker
codmos	1	5	3	0		spent time checking on is our dear friends Cosmos and Cassian how are the boys Codmos is worded cannot be scribed no matter how many times I tried But his companions
d20	1	5	3	1.67		I rolled two crappy rolls Bardic doesn't add to glibness If your Bardic plus your D20 is less than 15 it becomes a 15 I I assume Yeah it actually makes
elloria	1	5	3	0		attend to Which we should therefore do You're right Or there could be something in Elloria that's actually worthwhile We have been wanting to go there Trip Severus or somebody like
faldrek	1	5	3	0		hear him muttering under his breath bizarre seeker Now if Fausto teleports they can surprise Faldrek time is almost ready Delay them It's 1 of the All right So Bizarro Seeker
faldric	1	5	3	0		you're Dratt Wait How about Taken your ship to some crazy place Should we tell faldric to start flying vintage charter towards Chartered Now Nice Great Idea Can we Just sending
faldrick's	1	5	3	0		wait Saying great It's on the ship isn't it Yeah Great good work Everybody whoops Faldrick's in charge of that or whatever Wait Have we contacted the ship You tried to
garmjala	1	5	3	0		horseback in a in a dry arid desert This is like you know in the Garmjala in the like you know close to you know the it's the type of terrain
gotchas	1	5	3	1.58		more compelling plan or an urgent reason to do otherwise when we return from the gotchas layer and after the festival And after kenzo continues to set gets the three you
havar	1	5	3	0		time also both talking to people on the road here and scrying Sarah and Haftar Havar was turned to stone but freed from the stone and now believes that the sword
mackenzo	1	5	3	0		was found in a monastery It's good Yeah this is the first we've heard of Mackenzo You haven't like Oh Shared your monastery plans Yeah I totally have This is like
magisters	1	5	3	1.24		off to like get organized So there's somebody ready to talk when we bring the magisters to the table but at the moment not sure what they're up to It's only
maruke	1	5	3	0		again most you gotta remember most of the Orcs in the city are I mean Maruke presumably has some fighter levels right But most of the Orcs and the city left
melded	1	5	3	2.34		hides in the desert to break near the edge of the cliff drink God remains melded into the stone of the cliff itself only dimly hearing the goings on around him
monkish	1	5	3	1.59		the Donmar a religion There's That's what I'm You know that's what the Sort of monkish mana monastic tradition would be as all these like mystery Colts I'm so she's steps
newsgar	1	5	3	0		out has clearly gotten better The 2 Orcs I've spent nearly the entire time Well Newsgar the archivist that spent nearly the entire time painstakingly piecing together shredded bits of records
nias	1	5	3	2.05		not in danger herself Well she will be in very big grave danger I mean Nias owes you a favor he could have easily just torn up the recommendation that deal
offgar	1	5	3	0		snatch of poetry trying to remember the various poems that we were reciting to for Offgar sort of muttering like not sure that he's really in love with this poet but
oracatu	1	5	3	0		the he'll go to the Ohana He'll go to all of them except for the oracatu Right now Um He'll go to each one share his key and just you know
satcher	1	5	3	1.32		turns and looks um like waves waves his hand in the the sort of twisted satcher walks up and hands that he he takes He takes his lato which is very
tachi	1	5	3	2.07		wizards None of us are wizards We're never gonna use it right And it's a tachi It's a book of tauntie spells We got it from grimaceals Hoard It's not that
uzkar	1	5	3	0		floor of the palace Our chief Lub Ashes Palace in the Orc is city of Uzkar in the land of the peaceful sun the kingdom of their cause the land of
agatha's	1	4	3	1.82		you're doing blasting up perception so I can see invisible And I'm doing armor of Agatha's Okay And then you push open the door by taking a deep breath so as
agnir	1	4	3	0		the Somewhere Amol is up at front like sort of keeping an eye out The Agnir The Elf is tending to the tree in the garden Full site Everybody look normal
borja	1	4	3	2.08		was talking about the how this place here is like the weak spot to Our borja this is this is warning of The pair weakness in the material plane to the
carolyn's	1	4	3	1.74		you may have heard you know the one who Is really you know of the Carolyn's you know she's the one who spends all her time riding along the Roads and
cataline	1	4	3	0		nods And then last slowly Guillaume Gives a nod of agreement And everybody stands as Cataline says a brief closing prayer pours another Drink of water from the well for everybody
climbable	1	4	3	1.48		It's like rough so stone blocks like it's like a castle tower It certainly is climbable Yeah and where the rope is especially to a plus eight All right well let's
cod's	1	4	3	1.72		can go halfway up the only way you were climbing it before was with direct cod's spider climb spell Like we just get to the bottom the edge of the Canada
consafe	1	4	3	0		casting Yes he's gonna cast He's gonna cast banishing smite Con save Okay Spell with consafe Okay Oh no Or don't roll a con save just automatically Don't cast the spell
conspiration	1	4	3	1.1		throw dawith pitches forward into the blackness I might reroll that With what For our conspiration but that was not a good use for our conspiration Oh We we all brace
delwyth	1	4	3	0		being pulled into the center of this mass and that ends its turn Kenzo and Delwyth are up Oh Brutal Wow Kenzo any thoughts Kong are you with us Are you
denmar	1	4	3	0		know later on once we once we pillage chartin we're gonna want like a United denmar like at our backs you know when the actual rate when we raise Charin you
drankorians	1	4	3	0		had resettled and then later it gets resettled in ways from starting originally from like drankorians but drankorian and scare kind of mixing together But that's the rumor anyway is that
dravneka	1	4	3	0		bit you know Jrain finds Justas and Finnan who are wintering in the village of Dravneka which is like one of the villages that you know and Jrain you probably have
dunari	1	4	3	0		Hmm Okay So we begin tonight in the deserts east of the Dunari border a camp a made by Gaweth and rislin outside a pool of water where
dunbari	1	4	3	0		on the Day of Atonement and now with the Holy the Holy month of the Dunbari calendar beginning There will be between now and the Festival of the Sun on January
fasta	1	4	3	1.67		you know you don't ask you to betray Chardon or drank or just garage and Fasta most was pretty sure that you had this up there new Apollon had it you
faustow	1	4	3	0		armor his face hidden behind his helmet a purple mist hanging around his armor and Faustow his young handsome face twisted in rage the iron and black iron and gray the
grashes	1	4	3	0		I mean we could last you so last you scratch them when they were with grashes army Now wait they were They were I missed Yes Oh how far away is
hofflings	1	4	3	0		the way Dragon can like bond over some ice consumption But also like the the Hofflings say white dragons are not at least the ones that they've seen and the ones
hopgoblin	1	4	3	0		the what's the what's the city what's the city of Hubgoblins that's Unaffected by the Hopgoblin god Can we contact them That's what works Oh that is orcs Yeah what do
izengay	1	4	3	0		Had just asked her asked Soltar about the ooze Who he told you was near Izengay fools but once the Empress of Chaos takes control of the magic all will fall
kinku	1	4	3	0		mechanically this will have any effect but i'll i'll make I'll use the um the kinku sutter leather to glamour it and try and match the color of the sky above
longsword	1	4	3	1.92		the um He just killed their companion um and are going to swing with their longsword That's a fourteen that misses and then life drain That is a twenty that is
mara's	1	4	3	2.09		north like even which direction we are from A new yeah everything there a new mara's to the south A fair bit to the south they are and as you know
mauer	1	4	3	2.35		for the battle We have to we have to run that one shot sometime unexplored mauer peninsula little bit it's a difficult place to Find writings of i'm not sure how
ork	1	4	3	2.49		don't really I mean We don't we don't You don't really know except that the ork ork civil war is very recent yeah that's yeah yeah So if crash provoked that
